symbol,timestamp,open,high,low,close,volume,trade_count,vwap,return,volatility,ma_5,ma_10,ma_20,target
NVDA,2022-01-31 05:00:00+00:00,231.82,245.09,230.52,244.86,59740798.0,754765.0,239.651935,0.07206654991243444,0.050150466026861365,228.73200000000003,236.23200000000003,257.7025,246.38
NVDA,2022-02-01 05:00:00+00:00,251.04,251.45,238.9001,246.38,53895327.0,699905.0,243.8146,0.006207628849138169,0.04034233445642345,233.35999999999999,234.96699999999996,254.961,252.42
NVDA,2022-02-02 05:00:00+00:00,257.94,258.17,245.5301,252.42,56398840.0,787630.0,251.640734,0.024514976865005256,0.04037770894799854,238.3,235.142,252.93700000000004,239.48
NVDA,2022-02-03 05:00:00+00:00,244.58,250.77,237.8,239.48,43640981.0,589415.0,243.883373,-0.05126376673797639,0.04588659780987069,242.308,234.94,251.109,243.19
NVDA,2022-02-04 05:00:00+00:00,239.72,246.35,236.32,243.19,37750939.0,488297.0,242.267737,0.015491899114748575,0.04416677400202614,245.266,235.885,249.17950000000002,247.28
NVDA,2022-02-07 05:00:00+00:00,243.72,251.82,242.02,247.28,39645339.0,500322.0,247.626074,0.01681812574530195,0.030670179276266463,245.75,237.24100000000004,247.92000000000002,251.08
NVDA,2022-02-08 05:00:00+00:00,243.59,252.3,239.8,251.08,43019703.0,573662.0,247.564171,0.01536719508249762,0.031226419144259228,246.68999999999997,240.025,246.77400000000003,267.05
NVDA,2022-02-09 05:00:00+00:00,256.22,267.25,253.53,267.05,54541603.0,834603.0,262.375458,0.06360522542615898,0.040963853277103474,249.61599999999999,243.958,246.21800000000002,258.24
NVDA,2022-02-10 05:00:00+00:00,259.95,269.2499,256.0,258.24,53597992.0,757008.0,262.853432,-0.03299007676465082,0.03415783162977872,253.368,247.83800000000002,245.13049999999998,239.49
NVDA,2022-02-11 05:00:00+00:00,259.16,261.52,237.73,239.49,62861432.0,872906.0,246.435903,-0.07260687732342008,0.05221469001266494,252.62800000000001,248.94699999999997,243.81749999999997,242.67
NVDA,2022-02-14 05:00:00+00:00,239.34,248.75,237.55,242.67,46134895.0,642006.0,243.576783,0.013278216209444915,0.05191956609518358,251.706,248.72799999999998,242.48000000000002,264.95
NVDA,2022-02-15 05:00:00+00:00,249.49,265.45,247.84,264.95,72260242.0,938425.0,260.254404,0.09181192566036178,0.06748182583185999,254.48000000000002,250.58500000000004,242.77599999999998,265.11
NVDA,2022-02-16 05:00:00+00:00,262.59,265.82,255.52,265.11,74148239.0,1135449.0,261.241815,0.0006038875259484211,0.06116822564490738,254.092,251.85399999999998,243.498,245.07
NVDA,2022-02-17 05:00:00+00:00,256.3,257.85,241.65,245.07,83647746.0,1119840.0,246.707636,-0.07559126400362126,0.06933718937450241,251.458,252.413,243.67649999999998,236.42
NVDA,2022-02-18 05:00:00+00:00,246.675,249.86,231.0,236.42,78367985.0,1034594.0,237.408466,-0.035296037866731966,0.062370988580966916,250.844,251.73600000000002,243.8105,233.9
NVDA,2022-02-22 05:00:00+00:00,230.35,240.6399,230.0,233.9,64675947.0,831894.0,234.484892,-0.010658996700786627,0.06191433806332537,249.08999999999997,250.39799999999997,243.81949999999998,223.87
NVDA,2022-02-23 05:00:00+00:00,238.02,241.5499,223.01,223.87,59019627.0,806738.0,230.207463,-0.04288157332193243,0.029769943455382385,240.87399999999997,247.677,243.85099999999997,237.48
NVDA,2022-02-24 05:00:00+00:00,210.15,238.0,208.9,237.48,77691663.0,985722.0,225.677176,0.060794210925983805,0.05113766217038894,235.348,244.72000000000003,244.339,241.57
NVDA,2022-02-25 05:00:00+00:00,237.21,242.17,233.81,241.57,54603539.0,708204.0,238.851735,0.017222502947616736,0.04233022117504305,234.648,243.05299999999997,245.44549999999998,243.85
NVDA,2022-02-28 05:00:00+00:00,239.92,246.65,237.0701,243.85,52017664.0,590309.0,241.98997,0.009438258061845506,0.0380921173438407,236.13400000000001,243.48900000000003,246.21800000000002,234.77
NVDA,2022-03-01 05:00:00+00:00,242.91,243.77,231.32,234.77,43597076.0,604809.0,236.276718,-0.03723600574123431,0.04270893756706181,236.308,242.699,245.71349999999998,242.2
NVDA,2022-03-02 05:00:00+00:00,237.56,244.09,234.15,242.2,40837635.0,516757.0,240.39047,0.03164799591089151,0.035809591162875014,239.974,240.42399999999998,245.50449999999995,237.14
NVDA,2022-03-03 05:00:00+00:00,242.615,243.2599,234.69,237.14,38311162.0,501442.0,238.521914,-0.020891824938067738,0.02832963507593077,239.906,237.627,244.74049999999997,229.36
NVDA,2022-03-04 05:00:00+00:00,233.84,236.8,224.82,229.36,44936711.0,618549.0,229.408411,-0.03280762418824312,0.02955087338865261,237.464,236.05599999999998,244.23449999999997,213.52
NVDA,2022-03-07 05:00:00+00:00,228.17,230.33,213.3,213.52,47700768.0,701462.0,219.124712,-0.06906173700732476,0.03665973479311412,231.398,233.766,242.75100000000003,215.14
NVDA,2022-03-08 05:00:00+00:00,213.09,223.7299,206.5,215.14,58159717.0,722740.0,215.464255,0.007587111277632008,0.03855570905363663,227.47200000000004,231.89000000000001,241.144,230.14
NVDA,2022-03-09 05:00:00+00:00,223.87,232.2,222.47,230.14,51625542.0,610241.0,228.266126,0.06972204146137395,0.051932364493945796,225.06,232.517,240.09699999999998,226.58
NVDA,2022-03-10 05:00:00+00:00,225.31,227.88,218.82,226.58,44861738.0,568266.0,223.724483,-0.015468845050838453,0.05168029408946361,222.948,231.427,238.07349999999997,221.0
